created_at,word,language,user_id,translation,status
2024-11-28 05:20:29.949395+00,Competence,GlizzyTalk,733578cf-dce4-4101-b3c7-82d697019353,Glizzy competence,learning
2025-01-21 07:09:58.135548+00,Compose,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,Write,learning
2024-11-26 06:30:38.068218+00,Congrizzulations,GlizzyTalk,733578cf-dce4-4101-b3c7-82d697019353,Congratulations,learning
2024-08-23 19:24:08.719422+00,Consejo,Spanish,dd8e019c-4f68-4f58-a2b8-d3eca2cde2b7,Tip,learning
2024-10-10 19:59:47.735681+00,Datum,German,aa91db2c-f855-4999-8869-4d89e04df77b,date,learning
2024-06-26 21:34:25.870096+00,Denota,Spanish,819cbf66-fd47-4000-9e89-80c1736d1002,denotes,learning
2024-12-30 15:39:06.438555+00,Display,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,display,learning
2024-10-31 16:13:24.501838+00,Einsätze,German,e42db482-b3fb-4d49-82ac-448f63744dd5,stakes,learning
2025-01-21 07:07:15.525595+00,Encompasses,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,Surrounds,learning
2024-12-30 20:14:46.283381+00,Entscheide,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,Decide,learning
2025-01-21 07:05:54.774389+00,Enumerated,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,counted,learning
2024-08-02 09:41:30.343763+00,Equity,GRE Vocabulary,630ecd5b-ef55-443c-ae04-6b34b0212e88,Ownership interest in a company,learning
2024-11-30 03:57:04.489476+00,Eres,Spanish,733578cf-dce4-4101-b3c7-82d697019353,You are,learning
2024-10-08 17:56:35.752025+00,Estimado,Spanish,39344461-7e13-4d7f-a025-5dbe38eafbb3,Esteemed,learning
2024-08-21 11:46:14.965198+00,Fackel,German,5a8b8dfa-5cc0-465c-a606-0b97a1efd403,torch,learning
2025-01-20 11:49:59.347021+00,Fans,German,3321eded-48c7-4be3-a4bc-7acd84ceecb1,fans,learning
2024-12-23 21:08:02.876039+00,Farben,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,colors,learning
2024-11-24 21:46:52.759144+00,Felicidades,Spanish,630ecd5b-ef55-443c-ae04-6b34b0212e88,Congratulations,learning
2024-11-07 19:07:24.320917+00,Fisch,German,e42db482-b3fb-4d49-82ac-448f63744dd5,fish,learning
2025-01-24 06:17:46.317307+00,Flex City,Tiktok Slang,630ecd5b-ef55-443c-ae04-6b34b0212e88,A place or state of being where one shows off or boasts about achievements or possessions,learning
2024-06-29 23:12:23.507506+00,Flug,German,f9034378-44b5-4ab5-babd-dfe40c4ca89b,flight,learning
2025-01-03 20:30:30.720291+00,Freunde,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,friends,learning
2024-12-30 15:24:33.219549+00,Fähigkeit,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,ability,learning
2024-12-25 12:59:53.020211+00,Garage,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,garage,learning
2024-11-28 04:48:59.414329+00,Garantía,Spanish,733578cf-dce4-4101-b3c7-82d697019353,Warranty,learning
2024-11-07 15:24:46.598197+00,Gesamte,German,e42db482-b3fb-4d49-82ac-448f63744dd5,Total,learning
2024-10-31 15:57:08.947629+00,Gleichgewicht,German,e42db482-b3fb-4d49-82ac-448f63744dd5,balance,learning
2024-11-26 09:05:36.502497+00,Glizzy,GlizzyTalk,85db5d88-12d5-49f7-8793-a0d2f62ac738,Hot dog or sausage,learning
2024-11-20 20:35:01.264348+00,Glizzy Hands,GlizzyTalk,733578cf-dce4-4101-b3c7-82d697019353,Atrioc,learning
2024-11-20 20:35:41.199127+00,Glizzy gobblers,GlizzyTalk,733578cf-dce4-4101-b3c7-82d697019353,hot dog eaters,learning
2024-11-20 20:35:17.676909+00,Glizzys,GlizzyTalk,733578cf-dce4-4101-b3c7-82d697019353,everyone,learning
2024-08-21 12:14:35.399571+00,Gracias,Spanish,b1e30457-e3a3-4903-8253-8a01e93d4cce,Thank you,learning
2024-08-21 12:10:22.553751+00,Gratitude,GRE Vocabulary,c2dfa0a8-6b1e-4c0a-a621-3c43461fca51,Thankfulness,learning
2025-01-20 11:45:07.626923+00,Grenze,German,3321eded-48c7-4be3-a4bc-7acd84ceecb1,border,learning
2024-10-17 05:40:57.842126+00,Guarda,Italian,a5e848d3-8ada-4b2f-b0dc-ebb10b8823a3,View,learning
2024-10-18 21:40:32.95911+00,HANEUL,Italian,a5e848d3-8ada-4b2f-b0dc-ebb10b8823a3,HANEUL,learning
2024-12-26 12:23:35.781112+00,Haken,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,hook,learning
2024-09-24 18:33:55.428923+00,Halloween,Portuguese,c1846c5c-aef1-44dc-919f-3cb36e24e88a,Halloween,learning
2024-12-25 18:26:18.730489+00,Hergestellt,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,Made,learning
2024-10-31 13:10:48.296386+00,Hola,Spanish,27729e07-dba6-445b-a4d6-790c5fca0546,Hello,learning
2025-01-13 09:37:42.986426+00,Horario,Spanish,630ecd5b-ef55-443c-ae04-6b34b0212e88,Schedule,learning
2024-12-29 19:48:54.601711+00,ID,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,ID,learning
2024-11-12 19:57:54.792093+00,Impara,Italian,cd9378b2-66c7-4d80-a08e-40ea7ab37a92,Learn,learning
2025-01-21 07:04:32.212372+00,Incorporate,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,Load,learning
2025-01-20 19:00:24.8265+00,Indubitably,SAT Vocabulary,e3256652-546e-44a4-9966-5e9732699183,Without a doubt,learning
2024-11-13 16:35:13.424394+00,Inizia,Italian,cd9378b2-66c7-4d80-a08e-40ea7ab37a92,Start,learning
2024-12-25 19:52:56.352467+00,Installer,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,installer,learning
2024-12-26 11:41:37.715536+00,Kleidung,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,clothes,learning
2024-11-19 05:49:08.111708+00,Krinky Krongemas,GlizzyTalk,733578cf-dce4-4101-b3c7-82d697019353,CUDA support,learning
2024-06-27 22:51:08.341191+00,Kurse,German,f9034378-44b5-4ab5-babd-dfe40c4ca89b,courses,learning
2024-08-24 17:28:57.485017+00,LIT,Tiktok Slang,cfb5b889-a5ca-4613-b8fe-2f1ab519f6f4,exciting,learning
2024-09-19 18:32:45.233892+00,LOCURA,Spanish,ff8b22f3-fa07-41cf-9d68-79caf67442d9,MADNESS,learning
2024-12-30 15:24:47.824157+00,Lampe,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,lamp,learning
2024-12-25 18:20:29.25211+00,Lesezeichen,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,bookmark,learning
2024-10-31 19:04:15.972028+00,Link,German,e42db482-b3fb-4d49-82ac-448f63744dd5,link,learning
2024-08-21 06:18:46.75757+00,Lire,French,28c8d175-7fb0-4514-9365-75256aa62bc4,To read,learning
2024-12-30 15:26:11.291708+00,Lärm,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,noise,learning
2024-11-28 05:28:43.220212+00,MB,Tiktok Slang,85db5d88-12d5-49f7-8793-a0d2f62ac738,megabytes,learning
2024-08-21 11:45:53.421902+00,Mann,German,5a8b8dfa-5cc0-465c-a606-0b97a1efd403,man,learning
2024-12-25 19:51:49.094221+00,Methode,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,method,learning
2025-02-06 01:39:07.554481+00,Michigan,French,3321eded-48c7-4be3-a4bc-7acd84ceecb1,Michigan,learning
2024-11-26 05:52:37.00679+00,Miss Info,GlizzyTalk,733578cf-dce4-4101-b3c7-82d697019353,Miss Information,learning
2024-12-24 01:05:55.223656+00,Mitgliedschaft,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,membership,learning
2025-01-07 16:57:14.737288+00,Modularisierung,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,modularization,learning
2024-12-23 21:20:33.188056+00,Montag,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,Monday,learning
2024-12-30 15:52:37.099029+00,Möglichkeit,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,possibility,learning
2024-07-01 02:39:20.056237+00,No,Spanish,9daa95e6-bb48-4eff-9f0b-ae0f3623d3e4,No,learning
2024-12-25 18:22:58.994148+00,Nutzen,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,to use,learning
2025-01-21 07:12:06.217982+00,Nvidia,GlizzyTalk,85db5d88-12d5-49f7-8793-a0d2f62ac738,hardware,learning
2024-12-24 01:09:45.489226+00,Oberfläche,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,interface,learning
2024-12-29 19:46:20.192145+00,Pipeline,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,Pipeline,learning
2024-12-25 19:10:59.41171+00,Platz,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,space,learning
2025-01-22 00:23:22.723142+00,Professeur,French,3321eded-48c7-4be3-a4bc-7acd84ceecb1,Teacher,learning
2024-11-21 02:26:53.025408+00,Publicar,Spanish,630ecd5b-ef55-443c-ae04-6b34b0212e88,Post,learning
2024-09-18 18:13:25.831746+00,Revancha,Spanish,ff8b22f3-fa07-41cf-9d68-79caf67442d9,Rematch,learning
2025-01-20 11:47:25.516791+00,Risiko,German,3321eded-48c7-4be3-a4bc-7acd84ceecb1,risk,learning
2024-11-30 03:52:04.848987+00,SIGPIPE,Tamil,733578cf-dce4-4101-b3c7-82d697019353,SIGPIPE,learning
2024-09-04 22:01:49.83175+00,SOUS,French,ff8b22f3-fa07-41cf-9d68-79caf67442d9,UNDER,learning
2024-12-25 20:19:27.722434+00,Schichten,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,layers,learning
2024-11-07 19:56:23.235879+00,Schwangerschaft,German,e42db482-b3fb-4d49-82ac-448f63744dd5,pregnancy,learning
2025-01-17 02:42:58.837293+00,Senador,Spanish,733578cf-dce4-4101-b3c7-82d697019353,Senator,learning
2024-12-17 04:20:37.290046+00,Siento,Spanish,b22d66d2-44b6-405e-ac1f-d33ff2f1ceed,I feel,learning
2024-11-26 09:17:47.090036+00,Sig,GlizzyTalk,85db5d88-12d5-49f7-8793-a0d2f62ac738,Sig,learning
2024-08-22 09:53:36.154673+00,Sigue,Spanish,b1e30457-e3a3-4903-8253-8a01e93d4cce,Keep,learning
2024-12-26 01:51:05.546642+00,Spannung,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,voltage,learning
2024-06-28 23:59:43.440752+00,Spieler,German,f9034378-44b5-4ab5-babd-dfe40c4ca89b,players,learning
2024-11-28 04:37:39.082517+00,Stories,GlizzyTalk,85db5d88-12d5-49f7-8793-a0d2f62ac738,Stories,learning
2025-01-30 19:57:51.115634+00,Subsequently,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,afterwards,learning
2025-02-21 13:53:44.447038+00,Suscríbete,Spanish,332370f9-32c4-4440-9cc0-1b45ffac71a8,Subscribe,learning
2024-06-24 06:54:56.748711+00,Tag,German,85bf9e83-7471-4d20-8241-81c9c7287ca2,day,learning
2024-06-29 16:07:09.972483+00,Tales,Spanish,819cbf66-fd47-4000-9e89-80c1736d1002,Such,learning
2024-09-06 01:33:39.267954+00,Tedious,GRE Vocabulary,ff8b22f3-fa07-41cf-9d68-79caf67442d9,Boring,learning
2025-01-16 15:29:56.638518+00,Thermoschlangen,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,thermosnakes,learning
2024-12-23 21:06:25.561719+00,To-Do-App,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,to-do app,learning
2024-12-23 21:10:13.67135+00,Tracking,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,tracking,learning
2024-11-12 22:22:02.763457+00,Trasforma,Italian,cd9378b2-66c7-4d80-a08e-40ea7ab37a92,Transform,learning
2025-01-06 09:10:45.660267+00,Typ,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,Type,learning
2024-08-29 18:50:26.892184+00,UNIDAD,Spanish,b1e30457-e3a3-4903-8253-8a01e93d4cce,UNIT,learning
2024-08-02 09:45:22.850827+00,Utilize,GRE Vocabulary,630ecd5b-ef55-443c-ae04-6b34b0212e88,Use,learning
2025-01-20 11:48:30.952682+00,Vermögens,German,3321eded-48c7-4be3-a4bc-7acd84ceecb1,asset,learning
2024-12-25 21:39:33.669879+00,Versprechen,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,Promise,learning
2024-12-23 21:07:21.661744+00,Vorlagen,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,templates,learning
2025-01-03 00:21:05.195039+00,Webdesign,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,Web Design,learning
2024-06-30 01:44:11.689548+00,Werkzeuge,German,f9034378-44b5-4ab5-babd-dfe40c4ca89b,tools,learning
2025-01-20 11:49:49.057286+00,Wirtschaft,German,3321eded-48c7-4be3-a4bc-7acd84ceecb1,economy,learning
2024-12-30 20:05:27.665543+00,Wissen,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,knowledge,learning
2024-12-30 15:29:50.315533+00,Z-Wave,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,Z-Wave,learning
2024-12-23 21:13:02.666079+00,Ziele,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,goals,learning
2025-01-03 19:50:56.323123+00,Zielüberprüfung,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,goal review,learning
2024-12-23 21:13:42.242977+00,abgedeckt,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,covered,learning
2024-08-21 20:28:26.341583+00,abordaste,Spanish,dd8e019c-4f68-4f58-a2b8-d3eca2cde2b7,you approached,learning
2024-07-17 00:12:53.119357+00,abril,Spanish,9daa95e6-bb48-4eff-9f0b-ae0f3623d3e4,April,learning
2025-01-22 00:31:51.560926+00,absurdité,French,3321eded-48c7-4be3-a4bc-7acd84ceecb1,absurdity,learning
2024-11-25 02:49:54.161758+00,absurdly,SAT Vocabulary,733578cf-dce4-4101-b3c7-82d697019353,in a manner that is wildly unreasonable or illogical,learning
2024-11-30 03:57:43.517222+00,abusador,Spanish,733578cf-dce4-4101-b3c7-82d697019353,abuser,learning
2025-02-04 12:09:32.795053+00,accent,French,97ee4d37-9d30-480e-963b-3c6f948018ad,accent,learning
2024-06-20 06:40:51.933509+00,acceso,Spanish,a88f454d-bb68-4010-9f05-10aed90ed792,access,learning
2024-06-12 05:56:45.420524+00,accessibleway,Spanish,a88f454d-bb68-4010-9f05-10aed90ed792,accessible,learning
2024-10-22 22:04:55.914626+00,acciones,Spanish,8f5668ce-f5b2-409a-9a80-b9cf0c17d306,stocks,learning
2024-10-22 22:05:08.578339+00,acción,Spanish,8f5668ce-f5b2-409a-9a80-b9cf0c17d306,stock,learning
2024-09-13 20:43:05.593518+00,acertar,Spanish,35c50fc4-ac52-422c-9823-282758696d3f,to get right,learning
2024-08-02 09:40:27.194231+00,achieved,GRE Vocabulary,630ecd5b-ef55-443c-ae04-6b34b0212e88,accomplished,learning
2024-09-04 22:05:09.894423+00,acordaron,Spanish,bc32cf7f-c20f-47a9-b45e-1f60d6e71a9c,they agreed,learning
2024-08-02 09:45:59.213342+00,acquire,GRE Vocabulary,630ecd5b-ef55-443c-ae04-6b34b0212e88,to get,learning
2024-11-28 04:39:24.940461+00,addy,GlizzyTalk,85db5d88-12d5-49f7-8793-a0d2f62ac738,address,learning
2025-01-30 19:17:20.171994+00,adept,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,skilled,learning
2024-09-04 22:04:41.576111+00,adorable,Spanish,b22d66d2-44b6-405e-ac1f-d33ff2f1ceed,adorable,learning
2025-01-21 04:52:23.351499+00,advocate,SAT Vocabulary,630ecd5b-ef55-443c-ae04-6b34b0212e88,suggest,learning
2025-01-22 20:02:28.350296+00,adyacente,Spanish,733578cf-dce4-4101-b3c7-82d697019353,adjacent,learning
2025-01-20 14:48:28.222234+00,affecte,French,3321eded-48c7-4be3-a4bc-7acd84ceecb1,affects,learning
2025-01-30 19:21:50.056824+00,aforementioned,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,previously mentioned,learning
2024-12-06 21:14:42.283802+00,agencia,Spanish,733578cf-dce4-4101-b3c7-82d697019353,agency,learning
2024-08-24 19:30:14.972965+00,agradecimiento,Spanish,8f4401f3-ff37-4bc2-b300-f6e55d230f69,thank you,learning
2024-07-01 02:49:55.752139+00,aire,Spanish,9daa95e6-bb48-4eff-9f0b-ae0f3623d3e4,air,learning
2024-06-26 21:02:13.256064+00,ajustar,Spanish,819cbf66-fd47-4000-9e89-80c1736d1002,adjust,learning
2024-08-21 12:08:10.709902+00,alegría,Spanish,c2dfa0a8-6b1e-4c0a-a621-3c43461fca51,joy,learning
2025-01-30 19:16:14.669416+00,algorithmic,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,related to algorithms or a step-by-step procedure for calculations,learning
2024-12-03 23:25:33.295014+00,algoritmos,Portuguese,733578cf-dce4-4101-b3c7-82d697019353,algorithms,learning
2024-08-12 13:53:17.029265+00,allocate,GRE Vocabulary,630ecd5b-ef55-443c-ae04-6b34b0212e88,to assign or distribute (resources or duties),learning
2024-11-22 00:26:56.431953+00,alta,Spanish,b22d66d2-44b6-405e-ac1f-d33ff2f1ceed,high,learning
2025-01-27 04:39:56.222382+00,alto,Spanish,630ecd5b-ef55-443c-ae04-6b34b0212e88,tall,learning
2024-09-06 01:35:28.515238+00,ameliorates,GRE Vocabulary,ff8b22f3-fa07-41cf-9d68-79caf67442d9,makes better,learning
2024-11-08 19:53:37.657261+00,amo,Italian,a5e848d3-8ada-4b2f-b0dc-ebb10b8823a3,I love,learning
2024-09-01 20:46:26.814426+00,amo,Spanish,b1e30457-e3a3-4903-8253-8a01e93d4cce,I love,learning
2024-10-27 05:55:32.006866+00,amo,Italian,cd9378b2-66c7-4d80-a08e-40ea7ab37a92,I love,learning
2024-08-21 20:24:35.097373+00,amo,Spanish,dd8e019c-4f68-4f58-a2b8-d3eca2cde2b7,I love,learning
2025-01-21 07:03:38.156004+00,amorphous,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,shapeless,learning
2025-02-21 23:04:59.882869+00,amplificador,Spanish,332370f9-32c4-4440-9cc0-1b45ffac71a8,amplifier,learning
2025-01-30 19:55:00.713169+00,analogous,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,similar,learning
2024-08-21 06:19:10.031493+00,ananas,French,28c8d175-7fb0-4514-9365-75256aa62bc4,pineapple,learning
2025-01-30 19:57:59.304303+00,ancillary,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,"providing necessary support to the primary activities or operation of an organization, institution, industry, or system",learning
2024-10-31 15:51:07.427266+00,anfangen,German,e42db482-b3fb-4d49-82ac-448f63744dd5,to start,learning
2024-09-11 06:59:59.881234+00,animamos,Spanish,f1f4bd58-a3d2-45da-8179-474f2368456b,we encourage,learning
2025-01-21 07:06:49.992731+00,annotated,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,marked up,learning
2025-01-21 07:08:28.954849+00,annotations,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,comments,learning
2024-11-08 19:36:52.885038+00,annuler,French,630ecd5b-ef55-443c-ae04-6b34b0212e88,to cancel,learning
2025-01-20 14:29:35.825309+00,annulé,French,3321eded-48c7-4be3-a4bc-7acd84ceecb1,repealed,learning
2024-08-25 20:05:09.045652+00,annum,GRE Vocabulary,4d45dd5a-c3db-4485-80d2-27738653aa95,year,learning
2025-01-27 19:17:36.10322+00,antiquated,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,outdated,learning
2025-01-22 05:41:43.053442+00,antología,Spanish,733578cf-dce4-4101-b3c7-82d697019353,anthology,learning
2024-10-31 15:49:12.027663+00,antworten,German,e42db482-b3fb-4d49-82ac-448f63744dd5,to answer,learning
2025-01-13 19:54:00.498578+00,aplastar,Spanish,733578cf-dce4-4101-b3c7-82d697019353,to squash,learning
2024-12-02 21:22:31.285836+00,aplicación,Spanish,733578cf-dce4-4101-b3c7-82d697019353,application,learning
2025-01-20 14:27:01.267473+00,apocalyptique,French,3321eded-48c7-4be3-a4bc-7acd84ceecb1,apocalyptic,learning
2025-02-04 15:51:49.258142+00,apparaîtra,French,97ee4d37-9d30-480e-963b-3c6f948018ad,will appear,learning
2025-01-21 07:07:26.804433+00,appellation,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,title,learning
2024-09-03 13:40:53.856901+00,application,French,97ee4d37-9d30-480e-963b-3c6f948018ad,application,learning
2024-11-18 05:45:03.839091+00,appreciate,SAT Vocabulary,ff8b22f3-fa07-41cf-9d68-79caf67442d9,to recognize the worth or significance of something,learning
2025-01-27 19:18:54.605119+00,apprise,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,inform,learning
2025-01-20 11:01:54.829877+00,aprende,Spanish,630ecd5b-ef55-443c-ae04-6b34b0212e88,learns,learning
2025-01-20 11:15:02.52+00,aprendiendo,Spanish,630ecd5b-ef55-443c-ae04-6b34b0212e88,learning,learning
2024-06-11 07:13:35.545101+00,ardhay,Spanish,a88f454d-bb68-4010-9f05-10aed90ed792,hard,learning
2025-01-13 20:00:14.191082+00,arreglar,Spanish,733578cf-dce4-4101-b3c7-82d697019353,to fix,learning
2025-01-30 19:21:34.310669+00,articulated,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,said,learning
2024-09-08 07:16:15.169574+00,articulated,GRE Vocabulary,ff8b22f3-fa07-41cf-9d68-79caf67442d9,expressed,learning
2024-09-01 16:30:13.82917+00,artículos,Spanish,630ecd5b-ef55-443c-ae04-6b34b0212e88,items,learning
2024-06-26 21:31:05.703102+00,artículos,Spanish,819cbf66-fd47-4000-9e89-80c1736d1002,items,learning
2025-01-30 19:57:28.807447+00,ascertain,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,determine,learning
2025-01-20 16:04:59.885754+00,asesor financiero,Spanish,630ecd5b-ef55-443c-ae04-6b34b0212e88,financial advisor,learning
2025-01-21 06:04:24.411321+00,asile,French,3321eded-48c7-4be3-a4bc-7acd84ceecb1,asylum,learning
2025-01-20 02:15:36.05556+00,asombrosa,Spanish,630ecd5b-ef55-443c-ae04-6b34b0212e88,amazing,learning
2024-11-30 01:21:57.373276+00,aspired,SAT Vocabulary,733578cf-dce4-4101-b3c7-82d697019353,to have a strong desire or ambition to achieve something,learning
2024-08-21 12:11:01.819642+00,assist,GRE Vocabulary,c2dfa0a8-6b1e-4c0a-a621-3c43461fca51,to help,learning
2025-01-23 07:24:55.057242+00,attaque,French,3321eded-48c7-4be3-a4bc-7acd84ceecb1,attack,learning
2025-01-20 18:50:54.822055+00,attempt,SAT Vocabulary,e3256652-546e-44a4-9966-5e9732699183,try,learning
2025-02-04 15:47:59.490814+00,attendre,French,97ee4d37-9d30-480e-963b-3c6f948018ad,to expect,learning
2024-11-30 01:20:20.529939+00,augment,SAT Vocabulary,733578cf-dce4-4101-b3c7-82d697019353,to increase or enhance,learning
